Zerg_Hive 25250; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2635; Zerg_Extractor 2380; Zerg_Creep_Colony 10160; Zerg_Evolution_Chamber 9705; Zerg_Queens_Nest 24080; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 10665; Zerg_Expansion 3555; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 27820; Zerg_Expansion2 10425; Zerg_Lair 4185; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5715; Zerg_Building_Overlord 1360; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2605; Zerg_Extractor 1630; Zerg_Creep_Colony 11240; Zerg_Evolution_Chamber 10545; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 20680; Zerg_Spore_Colony 11700; Zerg_Expansion 3855; Zerg_Hydralisk_Den 38095; Zerg_Greater_Spire 0; Zerg_Expansion2 10160; Zerg_Lair 4410; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5940; Zerg_Building_Overlord 1440; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2622; Zerg_Extractor 1564; Zerg_Creep_Colony 7694; Zerg_Evolution_Chamber 6958; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 20876; Zerg_Spore_Colony 8082; Zerg_Expansion 4694; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 18116; Zerg_Lair 3898; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5518; Zerg_Building_Overlord 1344; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2932; Zerg_Extractor 1636; Zerg_Creep_Colony 7028; Zerg_Evolution_Chamber 6696; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 24346; Zerg_Spore_Colony 7474; Zerg_Expansion 2428; Zerg_Hydralisk_Den 12312; Zerg_Greater_Spire 0; Zerg_Expansion2 10550; Zerg_Lair 4408; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5948; Zerg_Building_Overlord 1354; Zerg_Defiler_Mound 0; 
Zerg_Hive 25250; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2635; Zerg_Extractor 2380; Zerg_Creep_Colony 10160; Zerg_Evolution_Chamber 9705; Zerg_Queens_Nest 24080; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 10665; Zerg_Expansion 3555; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 27820; Zerg_Expansion2 10425; Zerg_Lair 4185; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5715; Zerg_Building_Overlord 1360; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2605; Zerg_Extractor 1630; Zerg_Creep_Colony 11240; Zerg_Evolution_Chamber 10545; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 20680; Zerg_Spore_Colony 11700; Zerg_Expansion 3855; Zerg_Hydralisk_Den 38095; Zerg_Greater_Spire 0; Zerg_Expansion2 10160; Zerg_Lair 4410; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5940; Zerg_Building_Overlord 1440; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2622; Zerg_Extractor 1564; Zerg_Creep_Colony 7694; Zerg_Evolution_Chamber 6958; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 20876; Zerg_Spore_Colony 8082; Zerg_Expansion 4694; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 18116; Zerg_Lair 3898; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5518; Zerg_Building_Overlord 1344; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2932; Zerg_Extractor 1636; Zerg_Creep_Colony 7028; Zerg_Evolution_Chamber 6696; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 24346; Zerg_Spore_Colony 7474; Zerg_Expansion 2428; Zerg_Hydralisk_Den 12312; Zerg_Greater_Spire 0; Zerg_Expansion2 10550; Zerg_Lair 4408; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5948; Zerg_Building_Overlord 1354; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2360; Zerg_Extractor 2245; Zerg_Creep_Colony 7895; Zerg_Evolution_Chamber 7435; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 21410; Zerg_Spore_Colony 9655; Zerg_Expansion 3585; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 13950; Zerg_Lair 4445; Zerg_Ultralisk_Cavern 0; Zerg_Spire 6035; Zerg_Building_Overlord 1495; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 2915; Zerg_Extractor 2340; Zerg_Creep_Colony 9835; Zerg_Evolution_Chamber 8860; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 11385; Zerg_Expansion 3925; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 4090; Zerg_Lair 4565; Zerg_Ultralisk_Cavern 0; Zerg_Spire 6155; Zerg_Building_Overlord 1535; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2360; Zerg_Extractor 2245; Zerg_Creep_Colony 7895; Zerg_Evolution_Chamber 7435; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 21410; Zerg_Spore_Colony 9655; Zerg_Expansion 3585; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 13950; Zerg_Lair 4445; Zerg_Ultralisk_Cavern 0; Zerg_Spire 6035; Zerg_Building_Overlord 1495; Zerg_Defiler_Mound 0; 
